,brand,url,label
149,balenciaga,https://balenciaga.com,NOT
150,bally,https://bally.com,NOT
151,balmain,https://balmain.com,NOT
152,bamboo belgium,https://bamboobelgium.be,SUS
153,bambooo,https://vanbamboe.nl/bambooo/,SUS
154,bamigo,https://bamigo.com,SUS
155,band of outsiders,https://bandofoutsiders.com,NOT
156,band of rascals,https://band-of-rascals.com,SUS
157,barba napoli,https://barbanapoli.shop,NOT
158,barbour,https://barbour.com,NOT
159,bardot,https://bardot.com,NOT
160,barker,https://barkersonline.co.nz,NOT
161,base london,https://baselondon.com,NOT
162,baserange,https://baserange.net,SUS
163,basic apparel,https://basicapparel.dk,SUS
164,bask in the sun,https://baskinthesun.fr,SUS
165,basler,https://basler-fashion.com,SUS
166,baxter of california,https://baxterofcalifornia.com,NOT
167,bbsahel,https://bbsahel.com,SUS
168,bcbgeneration,https://bcbgeneration.com,NOT
169,beard & fringe,https://beardandfringe.com/,SUS
170,bearpaw,https://bearpaw.com,NOT
171,beaumont organic,https://beaumontorganic.com,SUS
172,becksöndergaard,https://becksondergaard.com/,SUS
173,bedrock sandals,https://bedrocksandals.com,SUS
174,beechfield,http://beechfield.com,NOT
175,bel&bo,https://bel-bo.be,NOT
176,bellamy gallery,https://bellamygallery.com,SUS
177,bellfield,https://bellfieldclothing.com,SUS
178,bellybutton,https://bellybutton.de,NOT
179,belstaff,https://belstaff.com,NOT
180,ben sherman,https://bensherman.com,SUS
181,bench.,https://bench.ca,NOT
182,benetton,https://benetton.com,NOT
183,bensimon,https://bensimon.com,NOT
184,benton,https://benton1988.com,SUS
185,bergans,https://bergans.com,NOT
186,bergson,https://bergson-shop.de,SUS
187,bershka,https://bershka.com,NOT
188,bertoni,https://bertoni.com,NOT
189,best company,https://bestcompany1982.it/en/new-gen-home-en/,NOT
190,better than nude,http://betterthannudes.com,SUS
191,better world fashion,https://betterworldfashion.com,SUS
192,betty barclay,https://bettybarclay.com,NOT
193,beyer's oil,https://beyersoil.com,SUS
194,beyond skin,https://beyond-skin.com,SUS
195,bhava studio,https://bhavastudio.com,SUS
196,bianco,https://bianco.com,NOT
197,bibico,https://bibico.co.uk,SUS
198,bickley & mitchell,https://bickleyandmitchell.com/,SUS
199,bidi badu,https://bidibadu.com,SUS
200,bik bok,https://bikbok.com,NOT
201,bikkembergs,https://bikkembergs.com,NOT
202,billabong,https://billabong.com,NOT
203,billi bi,https://billibi.com/en/,NOT
204,billy the kid,https://billiethekid.com.au/,SUS
205,birkenstock,https://birkenstock.com,SUS
206,bisgaard,https://bisgaardshoes.com,SUS
207,bizzbee,https://bizzbee.com,NOT
208,björn borg,https://bjornborg.com,NOT
209,black diamond,https://blackdiamondequipment.com,NOT
210,black milk,https://blackmilkclothing.com,NOT
211,blacksocks,https://blacksocks.com,SUS
212,blackstone,https://blackstoneclothing.co.nz,NOT
213,blaumax,https://blaumax.com,NOT
214,blend,https://blendcompany.com,NOT
215,blend she,http://www.blendshe.com,SUS
216,blind barber,https://blindbarber.com,SUS
217,bloi,http://bloi.se,SUS
218,bloom,https://bloomclothingcompany.com,SUS
219,blue industry,https://www.blueindustry.nl,SUS
