,brand,url,label,website_active
136,ayacucho,https://www.ayacucho-outdoor.com,SUS,True
137,aymara,http://www.aymara.be,NOT,True
138,azzaro,https://azzaro.com,SUS,True
139,b.belt handmade in germany,https://b-belt.fashion/,SUS,True
140,b.young,https://byoung.com,SUS,True
141,baba babywear,https://baba-babywear.be,SUS,True
142,babyface,http://babyface.nl,NOT,True
143,bad rhino,https://badrhino.com,NOT,True
144,badger,https://www.badgerclothing.co.uk,NOT,True
145,bagoa,https://bagoafashion.com,SUS,True
146,balagan,https://balaganstudio.com,SUS,True
147,balance me,https://balanceme.com,SUS,True
148,baldessarini,https://www.baldessarini.com,SUS,True
149,balenciaga,https://balenciaga.com,NOT,True
150,bally,https://bally.com,NOT,False
151,balmain,https://balmain.com,NOT,False
152,bamboo belgium,https://bamboobelgium.be,SUS,True
153,bambooo,https://vanbamboe.nl/bambooo/,SUS,True
154,bamigo,https://bamigo.com,SUS,True
155,band of outsiders,https://bandofoutsiders.com,NOT,False
156,band of rascals,https://band-of-rascals.com,SUS,True
157,barba napoli,https://barbanapoli.shop,NOT,True
158,barbour,https://barbour.com,NOT,True
159,bardot,https://bardot.com,NOT,True
160,barker,https://barkersonline.co.nz,NOT,True
161,base london,https://baselondon.com,NOT,True
162,baserange,https://baserange.net,SUS,True
163,basic apparel,https://basicapparel.dk,SUS,True
164,bask in the sun,https://baskinthesun.fr,SUS,False
165,basler,https://basler-fashion.com,SUS,False
166,baxter of california,https://baxterofcalifornia.com,NOT,True
167,bbsahel,https://bbsahel.com,SUS,True
168,bcbgeneration,https://bcbgeneration.com,NOT,False
169,beard & fringe,https://beardandfringe.com/,SUS,False
170,bearpaw,https://bearpaw.com,NOT,True
171,beaumont organic,https://beaumontorganic.com,SUS,True
172,becksöndergaard,https://becksondergaard.com/,SUS,True
173,bedrock sandals,https://bedrocksandals.com,SUS,True
174,beechfield,http://beechfield.com,NOT,True
175,bel&bo,https://bel-bo.be,NOT,True
176,bellamy gallery,https://bellamygallery.com,SUS,True
177,bellfield,https://bellfieldclothing.com,SUS,True
178,bellybutton,https://bellybutton.de,NOT,False
179,belstaff,https://belstaff.com,NOT,True
180,ben sherman,https://bensherman.com,SUS,True
181,bench.,https://bench.ca,NOT,True
182,benetton,https://benetton.com,NOT,True
183,bensimon,https://bensimon.com,NOT,True
184,benton,https://benton1988.com,SUS,True
185,bergans,https://bergans.com,NOT,True
186,bergson,https://bergson-shop.de,SUS,True
187,bershka,https://bershka.com,NOT,True
188,bertoni,https://bertoni.com,NOT,True
189,best company,https://bestcompany1982.it/en/new-gen-home-en/,NOT,True
190,better than nude,http://betterthannudes.com,SUS,True
191,better world fashion,https://betterworldfashion.com,SUS,True
192,betty barclay,https://bettybarclay.com,NOT,True
193,beyer's oil,https://beyersoil.com,SUS,True
194,beyond skin,https://beyond-skin.com,SUS,True
